,name,year,genre,description,director,stars
589,Love & Other Drugs,2010,"
Comedy, Drama, Romance            ","In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",Edward Zwick,"Jake Gyllenhaal ,Anne Hathaway ,Judy Greer"
590,My Name Is Khan,2010,"
Adventure, Drama, Romance            ",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Karan Johar,"Shah Rukh Khan ,Kajol ,Sheetal Menon"
591,Pancharangi,2010,"
Drama            ","Bharat, played by Diganth, travels with his family to Coastal Karnataka to look for a bride for his elder brother; an arrangement made by the family members. Over the span of two days, a ...                See full summary »
",Yograj Bhat,"Diganth ,Nidhi Subbaiah ,Anant Nag"
592,Prince of Persia: The Sands of Time,2010,"
Action, Adventure, Fantasy            ",A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.,Mike Newell,"Jake Gyllenhaal ,Gemma Arterton ,Ben Kingsley"
593,Repo Men,2010,"
Action, Sci-Fi, Thriller            ","Set in the near future when artificial organs can be bought on credit, it revolves around a man who struggles to make the payments on a heart he has purchased. He must therefore go on the run before said ticker is repossessed.",Miguel Sapochnik,"Jude Law ,Forest Whitaker ,Alice Braga"
594,Salt,2010,"
Action, Thriller            ",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Phillip Noyce,"Angelina Jolie ,Liev Schreiber ,Chiwetel Ejiofor"
595,6 Souls,2010,"
Horror, Thriller            ",A forensic psychiatrist discovers that all but one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.,Måns Mårlind,"Björn Stein ,Julianne Moore ,Jonathan Rhys Meyers"
596,Shutter Island,2010,"
Drama, Mystery, Thriller            ","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",Martin Scorsese,"Leonardo DiCaprio ,Emily Mortimer ,Mark Ruffalo"
597,Tangled,2010,"
Animation, Adventure, Comedy            ","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Nathan Greno,"Byron Howard ,Mandy Moore ,Zachary Levi"
598,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"
Adventure, Family, Fantasy            ","Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.",Michael Apted,"Ben Barnes ,Skandar Keynes ,Georgie Henley"
599,The Crazies,2010,"
Horror            ","After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people.",Breck Eisner,"Radha Mitchell ,Timothy Olyphant ,Danielle Panabaker"
600,The Ghost Writer,2010,"
Crime, Drama, Mystery            ","A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.",Roman Polanski,"Ewan McGregor ,Pierce Brosnan ,Olivia Williams"
601,The Runaways,2010,"
Biography, Drama, Music            ",A coming-of-age biographical film about the 1970s teenage all-girl rock band The Runaways. The relationship between band members Cherie Currie and Joan Jett is also explored.,Floria Sigismondi,"Kristen Stewart ,Dakota Fanning ,Michael Shannon"
602,The Social Network,2010,"
Biography, Drama            ","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.",David Fincher,"Jesse Eisenberg ,Andrew Garfield ,Justin Timberlake"
603,"Tomorrow, When the War Began",2010,"
Action, Adventure, Drama            ","When their country is invaded and their families are taken, eight unlikely teenagers band together to fight.",Stuart Beattie,"Caitlin Stasey ,Rachel Hurd-Wood ,Lincoln Lewis"
604,Toy Story 3,2010,"
Animation, Adventure, Comedy            ","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"Tom Hanks ,Tim Allen ,Joan Cusack"
605,Welcome to the Rileys,2010,"
Drama            ","On a business trip to New Orleans, a damaged man seeks salvation by caring for a wayward young woman.",Jake Scott,"James Gandolfini ,Kristen Stewart ,Melissa Leo"
606,Another Earth,2011,"
Drama, Mystery, Romance            ","On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",Mike Cahill,"Brit Marling ,William Mapother ,Matthew-Lee Erlbach"
607,Captain America: The First Avenger,2011,"
Action, Adventure, Sci-Fi            ","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organization.",Joe Johnston,"Chris Evans ,Hugo Weaving ,Samuel L. Jackson"
608,Contagion,2011,"
Drama, Thriller            ","Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.",Steven Soderbergh,"Matt Damon ,Kate Winslet ,Jude Law"
609,Cowboys & Aliens,2011,"
Action, Drama, Sci-Fi            ","A spaceship arrives in 1873 Arizona to take over the Earth, starting with the Wild West region. All that stands in their way: a posse of cowboys and natives.",Jon Favreau,"Daniel Craig ,Harrison Ford ,Olivia Wilde"
610,"Crazy, Stupid, Love.",2011,"
Comedy, Drama, Romance            ","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.",Glenn Ficarra,"John Requa ,Steve Carell ,Ryan Gosling"
611,Damsels in Distress,2011,"
Comedy, Drama, Romance            ","A trio of girls set out to change the male-dominated environment of the Seven Oaks college campus, and to rescue their fellow students from depression, grunge and low standards of every kind.",Whit Stillman,"Greta Gerwig ,Adam Brody ,Lio Tipton"
612,Detention,2011,"
Comedy, Horror, Romance            ","As a copycat killer named after movie villain Cinderhella stalks the student body at Grizzly Lake High School, a group of co-eds band together to survive while serving detention.",Joseph Kahn,"Josh Hutcherson ,Shanley Caswell ,Spencer Locke"
613,Drive,I) (2011,"
Action, Drama            ",A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,Nicolas Winding Refn,"Ryan Gosling ,Carey Mulligan ,Bryan Cranston"
614,Fast Five,2011,"
Action, Crime, Thriller            ",Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Justin Lin,"Vin Diesel ,Paul Walker ,Dwayne Johnson"
615,Hanna,2011,"
Action, Adventure, Drama            ","A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",Joe Wright,"Saoirse Ronan ,Cate Blanchett ,Eric Bana"
616,Hudugaru,2011,"
Action, Drama            ",The story revolves around three friends who are desperately looking out for suitable job opportunities. Their lives get devastated when they try to unite two lovers.,K. Madesh,"Puneeth Rajkumar ,Srinagar Kitty ,Yogesh"
617,Hugo,2011,"
Adventure, Drama, Family            ","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.",Martin Scorsese,"Asa Butterfield ,Chloë Grace Moretz ,Christopher Lee"
618,Harry Potter and the Deathly Hallows - Part 2,2011,"
Adventure, Family, Fantasy            ","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"Daniel Radcliffe ,Emma Watson ,Rupert Grint"
619,J. Edgar,2011,"
Biography, Drama, Romance            ","J. Edgar Hoover, powerful head of the F.B.I. for nearly fifty years, looks back on his professional and personal life.",Clint Eastwood,"Leonardo DiCaprio ,Armie Hammer ,Naomi Watts"
620,Kempe Gowda,2011,"
Action, Crime, Thriller            ",An enraged and influential gangster plans the ultimate vengeance against an honest police officer.,Sudeep,"Sudeep ,Ragini Dwivedi ,P. Ravi Shankar"
621,Kiraathaka,2011,"
Comedy, Drama            ",This romantic comedy movie revolves around how Gooly manages to win over Nethra despite the rivalry between both their villages.,Pradeep Raj,"Yash ,Oviya ,T.S. Nagabharana"
622,Kung Fu Panda 2,2011,"
Animation, Action, Adventure            ","Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",Jennifer Yuh Nelson,"Jack Black ,Angelina Jolie ,Jackie Chan"
623,Martha Marcy May Marlene,2011,"
Drama, Mystery, Thriller            ","Haunted by painful memories and increasing paranoia, a damaged woman struggles to re-assimilate with her family after fleeing an abusive cult.",Sean Durkin,"Elizabeth Olsen ,Sarah Paulson ,John Hawkes"
624,Paramathma,2011,"
Romance            ","Param (Puneeth Rajakumat), son of heart specialist Jayanth, is eager to know many things in life. He keeps shuffling from one place to another. A gold medalist in Bachelor of Science takes ...                See full summary »
",Yograj Bhat,"Puneeth Rajkumar ,Aindrita Ray ,Deepa Sannidhi"
625,Perfect Sense,2011,"
Drama, Romance, Sci-Fi            ",A chef and a scientist fall in love as an epidemic begins to rob people of their sensory perceptions.,David Mackenzie,"Ewan McGregor ,Eva Green ,Lauren Tempany"
626,Rio,2011,"
Animation, Adventure, Comedy            ","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",Carlos Saldanha,"Jesse Eisenberg ,Anne Hathaway ,George Lopez"
627,Rise of the Planet of the Apes,2011,"
Action, Drama, Sci-Fi            ",A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,Rupert Wyatt,"James Franco ,Andy Serkis ,Freida Pinto"
628,Sanju Weds Geetha,2011,"
Drama, Romance            ","Sanju Weds Geetha begins with Sanju graduating in computer science with top marks, immediately after which he leaves to his native, Kodagu. There he meets Geetha who is seen helping a ...                See full summary »
",Nagashekar,"Srinagar Kitty ,Ramya ,Doddanna"
629,Shyloo,2011,"
Crime, Drama, Romance            ","Manja who has been sentenced to 30 days in prison escapes just a day before his sentence officially ends after hearing that his sweetheart, Shyloo, is about to be married off to a rich guy.",S. Narayan,"Ganesh ,Bhama ,Honnavalli Krishna"
630,Source Code,2011,"
Action, Drama, Mystery            ",A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.,Duncan Jones,"Jake Gyllenhaal ,Michelle Monaghan ,Vera Farmiga"
